epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.974,2.06139,1.71709,1.67431,0.57166,0.41187,0.41064,0.14729,2.23064,1.77164,1.61624,0.000330556,0.000330556,0.067275
2,850.535,2.05879,1.79646,1.66783,0.44391,0.45994,0.37416,0.12023,2.4062,2.28594,1.83286,0.000657316,0.000657316,0.0342684
3,1281.72,2.06405,1.70581,1.68746,0.40531,0.40801,0.28812,0.08611,2.50552,1.91229,1.78267,0.000977477,0.000977477,0.00125526
4,1709.43,2.05193,1.82361,1.69255,0.59034,0.40059,0.40762,0.13234,2.43197,1.75545,1.8155,0.0009703,0.0009703,0.0009703
5,2151.89,2.03931,1.71247,1.67736,0.59913,0.45623,0.45812,0.15143,2.34976,1.65465,1.76394,0.0009604,0.0009604,0.0009604
6,2578.43,1.97473,1.66729,1.64314,0.56435,0.49926,0.47307,0.15822,2.40679,1.50612,1.75235,0.0009505,0.0009505,0.0009505
7,3003.75,1.94926,1.59349,1.61514,0.62138,0.48091,0.49063,0.1457,2.46299,1.5202,1.71184,0.0009406,0.0009406,0.0009406
8,3423.07,1.90731,1.52613,1.57591,0.65741,0.5089,0.53386,0.18191,2.41546,1.45721,1.76563,0.0009307,0.0009307,0.0009307
9,3843.75,1.89188,1.51024,1.58428,0.58378,0.46513,0.49291,0.19172,2.1997,1.49075,1.67094,0.0009208,0.0009208,0.0009208
10,4267.77,1.85866,1.40227,1.54523,0.47087,0.44436,0.40834,0.12613,2.4755,1.62216,1.80689,0.0009109,0.0009109,0.0009109
11,4714.96,1.83674,1.43954,1.55177,0.65518,0.4722,0.48479,0.15229,2.39007,1.48102,1.73947,0.000901,0.000901,0.000901
12,5141.92,1.86507,1.4539,1.54192,0.6661,0.53338,0.5792,0.22119,2.17157,1.33351,1.61139,0.0008911,0.0008911,0.0008911
13,5571.16,1.81963,1.3971,1.52794,0.58342,0.49869,0.518,0.19328,2.24914,1.46344,1.6415,0.0008812,0.0008812,0.0008812
14,5998.13,1.8276,1.36665,1.49735,0.68305,0.48813,0.54262,0.21496,2.2054,1.38594,1.62201,0.0008713,0.0008713,0.0008713
15,6424.65,1.80278,1.31191,1.50527,0.63459,0.53561,0.53499,0.17523,2.34988,1.455,1.68965,0.0008614,0.0008614,0.0008614
16,6853.01,1.78355,1.28257,1.47469,0.70753,0.52226,0.58048,0.20548,2.2796,1.40164,1.62618,0.0008515,0.0008515,0.0008515
17,7278.43,1.72812,1.30412,1.48501,0.71442,0.53075,0.58637,0.2393,2.13609,1.37612,1.60058,0.0008416,0.0008416,0.0008416
18,7708.03,1.73914,1.26249,1.44261,0.70471,0.53709,0.58823,0.21934,2.24056,1.35065,1.60012,0.0008317,0.0008317,0.0008317
19,8135.35,1.738,1.2054,1.45864,0.68704,0.51855,0.57764,0.239,2.0554,1.34031,1.52385,0.0008218,0.0008218,0.0008218
20,8557.5,1.70667,1.23446,1.45215,0.63016,0.51318,0.52514,0.20268,2.14345,1.42802,1.60388,0.0008119,0.0008119,0.0008119
21,8977.85,1.68129,1.20566,1.44227,0.74107,0.54525,0.61032,0.2288,2.20888,1.32138,1.61597,0.000802,0.000802,0.000802
22,9400.8,1.72431,1.18864,1.44401,0.70598,0.56677,0.61097,0.24925,2.10824,1.29356,1.53496,0.0007921,0.0007921,0.0007921
23,9824.07,1.65857,1.18649,1.43797,0.68269,0.56306,0.60277,0.22003,2.22106,1.33515,1.58918,0.0007822,0.0007822,0.0007822
24,10250.3,1.63597,1.15414,1.42061,0.72516,0.5727,0.62524,0.23999,2.16597,1.3241,1.59198,0.0007723,0.0007723,0.0007723
25,10673.8,1.63804,1.12751,1.40758,0.72093,0.51855,0.58341,0.2556,2.07483,1.43154,1.56639,0.0007624,0.0007624,0.0007624
26,11100.2,1.64416,1.12487,1.40989,0.73105,0.56231,0.62529,0.24747,2.14331,1.29499,1.56539,0.0007525,0.0007525,0.0007525
27,11524.6,1.60341,1.09287,1.39572,0.76874,0.52151,0.58787,0.22559,2.27304,1.36887,1.6102,0.0007426,0.0007426,0.0007426
